"filename", "language", "XML", "Java", "comment", "blank", "total"
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\Main.java", "Java", 0, 2, 0, 1, 3
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\create\CreateExemptionCommand.java", "Java", 0, 25, 0, 8, 33
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\create\CreateIncomeCommand.java", "Java", 0, 29, 0, 7, 36
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\create\CreateTaxCommand.java", "Java", 0, 29, 0, 8, 37
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\select\SelectExemptionCommand.java", "Java", 0, 37, 0, 9, 46
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\select\SelectIncomeCommand.java", "Java", 0, 45, 0, 11, 56
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\select\SelectTaxCommand.java", "Java", 0, 37, 0, 9, 46
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\select\SelectUserCommand.java", "Java", 0, 37, 0, 9, 46
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\select\SelectorConfiguration.java", "Java", 0, 19, 0, 4, 23
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UI\impl\СonsoleUI\ConsoleUI.java", "Java", 0, 233, -5, 20, 248
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\entity\Exemption.java", "Java", 0, 4, 0, 1, 5
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\entity\Income.java", "Java", 0, 7, 0, 3, 10
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\entity\Tax.java", "Java", 0, 4, 0, 1, 5
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\helper\StringableTable.java", "Java", 0, 123, 0, 24, 147
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\IConsistencyService.java", "Java", 0, 3, 0, 0, 3
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\Calculator.java", "Java", 0, 3, 0, 0, 3
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\ConsistencyService.java", "Java", 0, 67, -4, -4, 59
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\CreatorService.java", "Java", 0, 1, 0, 0, 1
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\IdentityService.java", "Java", 0, -3, 0, 0, -3
"e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\Selector.java", "Java", 0, 1, 0, 2, 3
"e:\ProjectCODE\PPLabs\LabCPX\src\main\resources\com\labs\core\entity\Income.hbm.xml", "XML", 2, 0, 0, 0, 2
"Total", "-", 2, 703, -9, 113, 809
